WORD,TERM,A,B,C,D
1,1,966.796875,41.015625,48.828125,124.0234375
1,1,966.796875,41.9921875,61.03515625,150.390625
1,1,966.796875,30.76171875,58.59375,-12.20703125
1,1,966.796875,32.2265625,65.91796875,-97.16796875
1,1,966.796875,38.0859375,76.171875,-11.23046875
1,1,966.796875,33.203125,68.84765625,124.0234375
1,1,966.796875,29.296875,64.94140625,148.92578125
1,1,966.796875,30.76171875,73.73046875,37.59765625
1,1,966.796875,32.2265625,79.1015625,-72.265625
1,1,966.796875,29.296875,73.73046875,-35.15625
1,1,966.796875,22.94921875,51.7578125,80.078125
1,1,966.796875,26.85546875,47.36328125,137.6953125
1,1,966.796875,39.55078125,60.05859375,56.640625
1,1,966.30859375,43.45703125,64.94140625,-75.68359375
1,1,966.796875,25.390625,63.96484375,-59.08203125
1,1,966.796875,5.859375,65.91796875,89.84375
1,1,966.796875,24.4140625,72.75390625,173.33984375
1,1,966.796875,35.64453125,75.1953125,82.03125
1,1,966.796875,21.484375,75.68359375,-63.4765625
1,1,966.796875,27.83203125,80.56640625,-51.26953125
1,1,966.796875,47.36328125,83.984375,109.86328125
1,1,966.30859375,36.62109375,66.89453125,169.921875
1,1,966.796875,22.94921875,54.6875,63.96484375
1,1,966.796875,27.83203125,74.21875,-46.38671875
1,1,966.796875,25.390625,81.54296875,-53.7109375
1,1,966.796875,23.4375,66.89453125,55.17578125
1,1,966.796875,31.73828125,65.91796875,163.57421875
1,1,966.30859375,34.66796875,80.078125,125.48828125
1,1,966.796875,17.578125,78.61328125,-30.76171875
1,1,966.796875,15.625,61.5234375,-86.9140625
1,1,966.796875,24.90234375,63.4765625,35.15625
1,1,965.33203125,24.90234375,80.078125,172.36328125
1,1,969.23828125,22.94921875,77.63671875,138.671875
1,1,960.44921875,29.296875,69.82421875,-38.57421875
1,1,945.80078125,37.109375,82.03125,-85.44921875
1,1,964.84375,23.92578125,85.44921875,33.69140625
1,1,960.9375,18.5546875,75.68359375,143.06640625
1,1,979.00390625,27.34375,62.98828125,109.86328125
1,1,931.640625,41.50390625,61.5234375,-20.99609375
1,1,808.10546875,51.26953125,68.84765625,-81.0546875
1,1,916.9921875,37.59765625,62.98828125,-2.9296875
1,1,973.14453125,41.015625,59.08203125,128.90625
1,1,974.609375,37.109375,53.22265625,147.4609375
1,1,902.83203125,43.9453125,66.40625,39.55078125
1,1,661.1328125,47.8515625,65.91796875,-71.77734375
1,1,775.390625,30.2734375,49.8046875,-26.85546875
1,1,966.30859375,31.25,58.59375,132.32421875
1,1,978.02734375,45.41015625,74.21875,187.01171875
1,1,826.171875,39.0625,60.546875,23.4375
1,1,559.08203125,30.76171875,60.05859375,-93.75
1,1,664.55078125,25.87890625,61.03515625,-33.69140625
1,1,929.6875,15.13671875,48.828125,105.95703125
1,1,988.28125,11.71875,56.15234375,157.71484375
1,1,851.5625,19.53125,65.4296875,49.31640625
1,1,529.78515625,20.99609375,64.94140625,-61.5234375
1,1,557.6171875,31.25,66.40625,-20.01953125
1,1,884.27734375,33.203125,52.24609375,112.3046875
1,1,994.140625,28.3203125,34.66796875,155.76171875
1,1,863.28125,34.1796875,54.19921875,84.47265625
1,1,504.8828125,36.62109375,65.4296875,-40.0390625
1,1,433.59375,13.18359375,33.69140625,-77.1484375
1,1,777.83203125,9.27734375,26.85546875,70.80078125
1,1,986.328125,25.87890625,46.38671875,184.5703125
1,1,850.5859375,25.390625,52.734375,97.16796875
1,1,480.95703125,22.94921875,54.6875,-41.9921875
1,1,403.80859375,34.66796875,60.05859375,-35.64453125
1,1,727.05078125,45.8984375,63.96484375,99.609375
1,1,972.16796875,41.015625,61.5234375,183.10546875
1,1,863.76953125,30.76171875,55.17578125,101.5625
1,1,475.09765625,28.80859375,52.734375,-49.8046875
1,1,353.02734375,36.62109375,58.10546875,-50.29296875
1,1,654.296875,18.5546875,40.0390625,55.17578125
1,1,955.56640625,5.859375,32.71484375,154.78515625
1,1,889.6484375,26.85546875,52.24609375,130.859375
1,1,496.58203125,26.3671875,50.29296875,-12.6953125
1,1,315.91796875,10.25390625,35.64453125,-74.70703125
1,1,583.984375,18.06640625,40.52734375,36.62109375
1,1,927.734375,31.73828125,51.26953125,171.38671875
1,1,920.41015625,27.83203125,54.6875,150.390625
1,1,538.0859375,36.62109375,53.7109375,15.625
1,1,278.3203125,42.96875,37.109375,-68.359375
